campus_id,Floor,Lab,Network_Prefix
SITE-A,First Floor,Robotics Lab,198.19.120.0/24
SITE-A,First Floor,Robotics Lab,198.19.106.0/24
SITE-A,Ground Floor,Power Lab,198.19.80.0/24
SITE-A,Second Floor,Data Centre,198.19.7.0/24
SITE-A,Second Floor,Data Centre,198.18.139.0/24
SITE-A,Second Floor,Data Centre,198.19.72.0/24
SITE-A,Second Floor,Telemetry Lab,198.18.189.0/24
SITE-A,Second Floor,Telemetry Lab,198.19.81.0/24
SITE-A,Third Floor,Reliability Lab,198.18.101.0/24
SITE-A,Third Floor,Reliability Lab,198.18.155.0/24
SITE-A,Third Floor,Reliability Lab,198.19.11.0/24
SITE-A,Third Floor,Optics Lab,198.18.12.0/24
SITE-A,First Floor,Display Lab,198.18.127.0/24
SITE-A,First Floor,Display Lab,198.18.62.0/24
SITE-A,First Floor,Display Lab,198.19.23.0/24
SITE-A,Ground Floor,Development Lab,198.18.19.0/24
SITE-B,Fifth Floor,Diagnostics Lab,198.18.110.0/24
SITE-B,Fifth Floor,Diagnostics Lab,198.18.1.0/24
SITE-B,First Floor,Prototyping Lab,198.18.44.0/24
SITE-B,First Floor,Prototyping Lab,198.19.156.0/24
SITE-B,Fourth Floor,Metrology Lab,198.18.171.0/24
SITE-B,Ground Floor,Thermal Lab,198.18.135.0/24
SITE-B,Second Floor,Automation Lab,198.18.13.0/24
SITE-B,Second Floor,Automation Lab,198.19.18.0/24
SITE-B,Second Floor,Automation Lab,198.18.34.0/24
SITE-B,Second Floor,Dynamics Lab,198.18.131.0/24
SITE-B,Second Floor,Dynamics Lab,198.18.152.0/24
SITE-B,Third Floor,Materials Lab,198.18.141.0/24
SITE-C,First Floor,Comms Room,198.18.128.0/24
SITE-C,First Floor,Comms Room,198.19.172.0/24
SITE-C,Ground Floor,Server Room,198.19.114.0/24
SITE-C,Ground Floor,Server Room,198.19.165.0/24
SITE-C,Second Floor,Integration Lab,198.18.161.0/24
SITE-C,Second Floor,Integration Lab,198.18.83.0/24
SITE-C,Second Floor,Electronics Lab,198.18.175.0/24
SITE-C,Ground Floor,Networking Lab,198.19.35.0/24
SITE-C,Ground Floor,Networking Lab,198.18.78.0/24
SITE-C,Ground Floor,Calibration Lab,198.19.118.0/24
SITE-C,Ground Floor,Calibration Lab,198.18.66.0/24
SITE-C,Ground Floor,Calibration Lab,198.19.183.0/24
SITE-D,First Floor,Validation Lab,198.19.141.0/24
SITE-D,Ground Floor,Control Lab,198.18.112.0/24
SITE-D,Ground Floor,Component Lab,198.18.146.0/24
